Gas;Brake;Fuel;Gear;Rpms;SteerAngle;SpeedKmh;Heading;Pitch;Roll;BrakeTemp_front_left;BrakeTemp_front_right;BrakeTemp_rear_left;BrakeTemp_rear_right;TyreTempI_front_left;TyreTempI_front_right;TyreTempI_rear_left;TyreTempI_rear_right;TyreTempM_front_left;TyreTempM_front_right;TyreTempM_rear_left;TyreTempM_rear_right;TyreTempO_front_left;TyreTempO_front_right;TyreTempO_rear_left;TyreTempO_rear_right;isNewLap
0;0.8412;65;3;6731;-0.08242025;107.88618;1.8693557;-0.0118695395;-0.007822902;687.3168;700.4;341.21594;342.74127;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.8015;65;3;6549;-0.095950246;103.92133;1.8328595;-0.012530494;-0.008546267;691.1043;705.1351;343.48917;345.00015;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.73800004;65;3;6282;-0.11286275;100.71195;1.7953387;-0.014406167;-0.00808816;695.027;710.3306;345.2616;346.835;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.6269;65;3;6107;-0.1346235;97.41364;1.7413079;-0.018031882;-0.009149143;697.0801;713.8954;346.61154;348.34143;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.57140005;65;3;6001;-0.14984475;94.93853;1.686921;-0.019452881;-0.0094019845;699.6513;716.4766;347.60242;349.44638;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.46820003;65;3;5891;-0.16608074;92.774994;1.6334269;-0.02295169;-0.010103297;699.8961;717.79736;348.19272;350.08957;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.22220004;65;3;5775;-0.18434626;90.58188;1.566826;-0.024265155;-0.010911526;698.4812;715.7243;347.54306;349.41525;0;0;0;0;0;0;0;0;0;0;0;0;0
0.04365;0;65;3;5746;-0.19674875;88.94038;1.499615;-0.02341263;-0.013014577;694.2883;711.24567;346.04892;347.88013;0;0;0;0;0;0;0;0;0;0;0;0;0
0.6328;0;65;3;6118;-0.1991165;88.0324;1.4279141;-0.022502704;-0.012969966;692.37134;709.26404;345.43536;347.26315;0;0;0;0;0;0;0;0;0;0;0;0;0
0.84375;0;65;3;6010;-0.1991165;87.85778;1.3613628;-0.021271667;-0.015969362;690.4137;707.2387;344.80536;346.62912;0;0;0;0;0;0;0;0;0;0;0;0;0
0.9414;0;65;3;6012;-0.19855276;87.7541;1.3011309;-0.022305831;-0.017716212;688.4655;705.2232;344.17734;345.99713;0;0;0;0;0;0;0;0;0;0;0;0;0
0.98829997;0;65;3;6049;-0.18468451;87.72117;1.2443628;-0.022751898;-0.017527439;686.52344;703.2142;343.5501;345.36588;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;6069;-0.16179626;87.81734;1.1943989;-0.02214181;-0.018462827;684.58563;701.20996;342.923;344.73483;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;6044;-0.13248126;88.00823;1.1397706;-0.019699126;-0.018202912;682.6517;699.2098;342.29587;344.10373;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;6099;-0.1152305;88.54114;1.0977836;-0.019483645;-0.016640976;680.7095;697.20154;341.6644;343.46826;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;5903;-0.104293756;89.38196;1.0608118;-0.018552192;-0.015451818;678.7533;695.17896;341.0263;342.82617;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;6093;-0.0902;90.51711;1.0262622;-0.01817376;-0.015664855;676.7826;693.14185;340.38153;342.1774;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;6307;-0.08084175;92.09977;0.9960688;-0.021161363;-0.012305719;674.7832;691.0755;339.72485;341.51654;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;6393;-0.06731175;94.09756;0.95729595;-0.017590735;-0.010548758;672.7554;688.98035;339.05627;340.84387;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;6579;-0.051865004;96.35701;0.9261561;-0.0061004166;-0.008163198;670.68933;686.8463;338.37228;340.15564;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;6687;-0.0399135;98.62286;0.9077437;0.002329863;-0.008853671;668.79755;684.8927;337.7435;339.523;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;6874;-0.024917752;101.22817;0.8908819;0.012429497;-0.010368615;666.4539;682.473;336.96173;338.73642;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;7035;-0.0034952501;103.40728;0.88128966;0.02124942;-0.007607136;664.29034;680.23975;336.23724;338.00745;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;7146;0.034727003;105.87591;0.8826159;0.031551134;-0.0018312361;662.0951;677.97424;335.49948;337.26517;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;7366;0.06708625;108.161644;0.9007531;0.036247164;0.0022709898;659.87537;675.68396;334.75113;336.5122;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;7510;0.086253755;110.285286;0.92754245;0.03647724;0.0010305394;657.6278;673.36536;333.99088;335.74728;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;7574;0.09482276;112.45591;0.9697849;0.03506974;-0.0061249407;655.36005;671.02625;333.2214;334.9731;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;7741;0.09031276;113.92459;1.0063782;0.033410393;-0.013539344;653.0841;668.67926;332.44727;334.19424;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;7868;0.0902;115.58308;1.0399963;0.022346037;-0.024034858;650.79364;666.31744;331.666;333.4082;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;8025;0.093244255;116.86982;1.0760376;0.012776885;-0.02416927;648.4956;663.9481;330.88022;332.61765;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;8069;0.097641505;118.01438;1.1168417;0.007942415;-0.02321534;646.1925;661.5737;330.09082;331.82343;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;8084;0.10993125;119.23627;1.1616459;0.0055408217;-0.023083895;643.8797;659.18976;329.29614;331.02386;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;8196;0.13575101;120.40625;1.2059503;0.0071415333;-0.024310483;641.55774;656.7965;328.49628;330.2191;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;8293;0.1598795;121.655785;1.2369081;0.00392439;-0.029934688;639.2242;654.3917;327.69037;329.4084;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;3;8331;0.17284577;122.94601;1.2634741;-0.0065288497;-0.031201491;636.8808;651.97687;326.87906;328.59213;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;1;8245;0.15446751;123.3972;1.3002869;-0.008458392;-0.026850706;634.55164;649.5772;326.07132;327.7795;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;6821;0.12391225;124.72822;1.3497097;-0.006882725;-0.023854341;632.2003;647.15497;325.25363;326.95688;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;6900;0.11072051;125.87864;1.3931797;-0.009175611;-0.02416579;629.84705;644.73096;324.43335;326.13168;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;7039;0.07813575;126.791794;1.4265722;-0.01259381;-0.018525282;627.4898;642.30316;323.60992;325.30328;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;6867;0.0430705;127.928154;1.4790969;0.0037663477;0.032894142;625.129;639.8719;322.78336;324.4717;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;7982;0.057728;128.57549;1.4874622;-0.022435598;0.03986382;622.77136;637.44403;321.95624;323.6396;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;7950;0.07678275;129.02994;1.5274396;-0.026776161;0.015974918;620.43115;635.03424;321.1339;322.81235;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;7179;0.08715575;130.37547;1.5709193;-0.015085423;0.024935523;618.05145;632.58417;320.295;321.96838;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;7958;0.106661506;131.2;1.5926478;-0.02731167;0.005883885;615.68335;630.14624;319.45868;321.12704;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;7193;0.11218625;132.3846;1.6082724;-0.041365337;-0.014195918;613.30725;627.7003;318.61765;320.2809;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;8208;0.084224254;132.77576;1.6290935;-0.047027737;0.028958859;610.9444;625.268;317.7798;319.43805;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;7387;0.0741895;133.98215;1.6550356;-0.049264178;-0.0013640303;608.56323;622.8173;316.9333;318.58646;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;7156;0.0692285;134.9081;1.6692308;-0.0609287;0.004721277;606.18164;620.36646;316.08484;317.733;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;7441;0.0561495;136.13406;1.7116295;-0.041379847;-0.0049983123;603.79474;617.9102;315.2327;316.87573;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;7529;0.060321253;137.91608;1.7347399;-0.035226423;-0.014092824;601.3792;615.4249;314.3679;316.00583;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;7611;0.062463503;139.68533;1.7549917;-0.038775608;-0.016173044;598.94635;612.9221;313.49478;315.12753;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;7652;0.058291752;141.62267;1.7910948;-0.030343289;-0.008837929;596.4986;610.4044;312.61423;314.24173;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;7815;0.05738975;143.21227;1.8207338;-0.02589044;-0.0079283165;594.04;607.8758;311.7277;313.3499;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;7897;0.05874275;145.1606;1.8534211;-0.019076115;-0.0047483323;591.31854;605.0771;310.7439;312.36035;0;0;0;0;0;0;0;0;0;0;0;0;0
